class,precision,recall,f1_score,support
15,0.7612,0.1881,0.3017,4236
16,0.0,0.0,0.0,893
17,0.002,0.3333,0.004,3
18,0.0933,0.3507,0.1473,134
19,0.0,0.0,0.0,129
20,0.5,0.0068,0.0135,146
21,0.7857,0.2472,0.3761,89
22,0.0,0.0,0.0,4
23,0.0,0.0,0.0,9
24,0.0,0.0,0.0,10
25,0.0,0.0,0.0,214
26,0.0,0.0,0.0,407
27,0.0,0.0,0.0,4
28,0.0,0.0,0.0,3
29,0.0,0.0,0.0,18
30,0.0,0.0,0.0,44
31,0.0,0.0,0.0,4
32,0.0,0.0,0.0,3
33,0.0,0.0,0.0,20
34,0.0,0.0,0.0,7
35,0.0,0.0,0.0,5
36,0.0,0.0,0.0,16
37,0.0,0.0,0.0,7
macro,0.20433322550929756,0.2335164226541578,0.16142093139630367,0
fold 1,,,,
0,0.9906,0.991,0.9908,10000
1,0.6165,0.7209,0.6646,602
2,0.999,0.9939,0.9964,988
3,0.7899,0.8487,0.8182,846
4,1.0,1.0,1.0,1029
5,1.0,1.0,1.0,88
6,1.0,1.0,1.0,994
7,1.0,1.0,1.0,1002
8,0.9946,0.984,0.9893,188
9,1.0,1.0,1.0,795
10,0.9073,0.9891,0.9464,1009
11,0.9276,0.8621,0.8937,892
12,0.7932,0.5865,0.6744,399
13,1.0,1.0,1.0,971
14,0.5767,0.4674,0.5164,1029
15,0.9712,0.9712,0.9712,139
16,0.9716,0.8095,0.8831,1013
17,0.9751,0.9916,0.9832,592
18,0.9528,0.9619,0.9573,105
19,0.9879,0.9683,0.978,252
20,0.7429,0.7345,0.7387,968
21,1.0,1.0,1.0,182
22,0.8653,0.994,0.9252,1002
23,0.9093,0.9837,0.945,979
24,0.372,0.402,0.3864,607
25,0.9505,1.0,0.9746,96
macro,0.8959250811269002,0.8946260825032023,0.8935811359502298,0
fold 2,,,,
0,0.9866,0.9934,0.99,10000
1,0.6706,0.7206,0.6947,630
2,1.0,0.996,0.998,1009
3,0.8874,0.8015,0.8422,816
4,1.0,1.0,1.0,976
5,1.0,0.9825,0.9912,114
6,1.0,1.0,1.0,968
7,1.0,0.999,0.9995,1007
8,0.9939,0.9819,0.9879,166
9,0.9987,1.0,0.9994,773
10,0.9128,0.9794,0.945,973
11,0.8501,0.948,0.8964,885
12,0.7713,0.6559,0.7089,401
13,1.0,1.0,1.0,941
14,0.5578,0.5893,0.5731,991
15,0.9583,0.9829,0.9705,117
16,0.969,0.8071,0.8807,1047
17,0.9936,0.9827,0.9881,636
18,1.0,1.0,1.0,91
19,0.9918,0.9798,0.9857,247
20,0.7791,0.7134,0.7448,984
21,1.0,1.0,1.0,206
22,0.8688,0.9849,0.9232,995
23,0.9225,0.9842,0.9523,1076
24,0.3671,0.2825,0.3193,616
25,0.9623,1.0,0.9808,102
macro,0.9016034675273963,0.8986540962990487,0.8989087234036158,0
fold 1,,,,
0,0.989,0.9933,0.9912,10000
1,0.6358,0.7076,0.6698,602
2,1.0,0.9929,0.9964,988
3,0.9217,0.7931,0.8526,846
4,1.0,1.0,1.0,1029
5,1.0,1.0,1.0,88
6,1.0,1.0,1.0,994
7,1.0,0.999,0.9995,1002
8,0.9946,0.984,0.9893,188
